stack_name,stack_type,image_url,homepage_url
Terraform,Server Configuration and Automation,https://img.stackshare.io/service/1276/default_2316907c4199f912e2ed79cbdb99025c9e5e2665.png,https://www.terraform.io/
Kibana,Monitoring Tools,https://img.stackshare.io/service/1722/Image_2019-05-20_at_4.53.31_PM.png,https://www.elastic.co/kibana
Amazon S3,Cloud Storage,https://img.stackshare.io/service/25/amazon-s3.png,http://aws.amazon.com/s3
Google Fonts,Fonts,https://img.stackshare.io/service/2652/default_807a8795f01fb7baf530cbd7909552eb9d14094a.jpg,https://fonts.google.com/
Amazon EC2,Cloud Hosting,https://img.stackshare.io/service/18/amazon-ec2.png,http://aws.amazon.com/ec2
Google Cloud Platform,Cloud Hosting,https://img.stackshare.io/service/4240/1a61e4pu_400x400.jpg,https://cloud.google.com/
PyCharm,Integrated Development Environment,https://img.stackshare.io/service/1644/logo.png,https://www.jetbrains.com/pycharm/
Redux,State Management Library,https://img.stackshare.io/service/4074/13142323.png,https://redux.js.org/
Stripe,Payment Services,https://img.stackshare.io/service/97/eW6tXeq3.png,https://stripe.com/
Google AdSense,Advertising,https://img.stackshare.io/service/5137/xvWejEyc_400x400.jpg,https://www.google.com/adsense/start/
Vim,Text Editor,https://img.stackshare.io/service/644/vim_logo.png,http://www.vim.org/
VirtualBox,Virtualization Platform,https://img.stackshare.io/service/774/vbox_94px.png,https://www.virtualbox.org/
Android Studio,Integrated Development Environment,https://img.stackshare.io/service/1447/AyreX9yf.jpeg,https://developer.android.com/sdk/installing/studio.html
AWS Lambda,Serverless / Task Processing,https://img.stackshare.io/service/1909/aws-lambda.png,http://aws.amazon.com/lambda
Android SDK,Frameworks (Full Stack),https://img.stackshare.io/service/1010/m8jf0po4imu8t5eemjdd.png,http://developer.android.com/
Markdown,Languages,https://img.stackshare.io/service/1147/markdown.png,http://daringfireball.net/projects/markdown/
Datadog,Performance Monitoring,https://img.stackshare.io/service/669/default_34b3b9b42d07c33ac47ecdff75dd6f4f82aa70ee.jpg,https://www.datadoghq.com/lpg/?utm_source=Advertisement&utm_medium=StackShare&utm_campaign=StackShare-Other
Bitbucket,Code Collaboration & Version Control,https://img.stackshare.io/service/28/35O2KIRX_400x400.jpg,https://bitbucket.org/
Grafana,Monitoring Tools,https://img.stackshare.io/service/2645/default_8f9d552b144493679449b16c79647da5787e808b.jpg,http://grafana.org/
Confluence,Project Management,https://img.stackshare.io/service/769/5_z16TbH_400x400.jpg,https://www.atlassian.com/software/confluence
Microsoft SQL Server,Databases,https://img.stackshare.io/service/1027/sql_server.png,http://microsoft.com/sqlserver
Apache HTTP Server,Web Servers,https://img.stackshare.io/service/1051/default_9e444e0d6cc9f4f55f1b86979900673af4de46aa.png,https://httpd.apache.org/
Font Awesome,Fonts,https://img.stackshare.io/service/3244/1_Mr1Fy00XjPGNf1Kkp_hWtw_2x.png,https://fontawesome.com/
Prettier,Code Review,https://img.stackshare.io/service/7035/default_66f265943abed56bcdbfca1c866a4261b1fbb063.jpg,https://prettier.io/
ASP.NET,Languages,https://img.stackshare.io/service/6755/2c45151a4a11d3a3c8e71bb34dd069d6_400x400.png,https://www.asp.net/
Yarn,Front End Package Manager,https://img.stackshare.io/service/5848/44mC-kJ3.jpg,https://yarnpkg.com/
AWS Elastic Load Balancing ...,Load Balancer / Reverse Proxy,https://img.stackshare.io/service/2587/aws-elastic-load-balancing.png,http://aws.amazon.com/elasticloadbalancing/
jQuery UI,Javascript UI Libraries,https://img.stackshare.io/service/1022/jqueryui_avatar_96.png,http://jqueryui.com/
Gradle,Java Build Tools,https://img.stackshare.io/service/975/gradlephant-social-black-bg.png,https://www.gradle.org/
Heroku,Platform as a Service,https://img.stackshare.io/service/133/3wgIDj3j.png,https://www.heroku.com/
PhpStorm,Integrated Development Environment,https://img.stackshare.io/service/1452/icon_PhpStorm.png,http://www.jetbrains.com/phpstorm/
Supabase,Realtime Backend / API,https://img.stackshare.io/service/12323/Z_q3YLKR_400x400.jpg,https://supabase.com/
Flutter,Cross-Platform Mobile Development,https://img.stackshare.io/service/7180/flutter-mark-square-100.png,https://flutter.io/
Webpack,JS Build Tools / JS Task Runners,https://img.stackshare.io/service/1682/IMG_4636.PNG,http://webpack.js.org/
ESLint,Code Review,https://img.stackshare.io/service/3337/Q4L7Jncy.jpg,http://eslint.org/
Google Tag Manager,Analytics Integrator,https://img.stackshare.io/service/2107/googleTagManager.png,https://www.google.com/analytics/tag-manager/
Ruby,Languages,https://img.stackshare.io/service/989/ruby.png,https://www.ruby-lang.org/
HubSpot,Marketing Automation,https://img.stackshare.io/service/256/9Q0oQwl2_400x400.jpg,http://www.hubspot.com/
Amazon CloudFront,Content Delivery Network,https://img.stackshare.io/service/13/amazon-cloudfront.png,http://aws.amazon.com/cloudfront/
Laravel,Frameworks (Full Stack),https://img.stackshare.io/service/992/AcA2LnWL_400x400.jpg,http://laravel.com/
Notepad++,Text Editor,https://img.stackshare.io/service/646/default_abe7c8d88f6928ce412eff1e576c52119f8c03af.png,http://notepad-plus-plus.org/
Sentry,Exception Monitoring,https://img.stackshare.io/service/191/default_9262326592c97828a2a4299dec085a3674dd05f4.png,https://sentry.io/welcome/?utm_source=stackshare&utm_medium=link&utm_campaign=profile
